date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
2022-12-07,Group B,MD,Hendra S.. / Mohamm.. (2) Rank 6 Elo 2015 (+38),21-12 / 21-15,Aaron CH.. / SOH Wooi.. Rank 4 Elo 2182 (-37),32,https://badmintonranks.com/tournament?id=12828,3,Hendra S.. / Mohamm.. (2),6,2015,Aaron CH.. / SOH Wooi..,4,2182
2022-12-07,Group B,MD,LIU Yu C.. / OU Xuan .. (4) Rank 11 Elo 2080 (+19),21-11 / 21-19,Kim AST.. / Anders Sk.. Rank 5 Elo 1983 (-19),36,https://badmintonranks.com/tournament?id=12828,3,LIU Yu C.. / OU Xuan .. (4),11,2080,Kim AST.. / Anders Sk..,5,1983
2022-12-07,Group A,XD,Rinov RI.. / Pitha Hani.. Rank 13 Elo 1907 (+37),21-12 / 21-15,GOH Soo.. / LAI Shev.. (4) Rank 11 Elo 2022 (-35),35,https://badmintonranks.com/tournament?id=12828,3,Rinov RI.. / Pitha Hani..,13,1907,GOH Soo.. / LAI Shev.. (4),11,2022
2022-12-07,Group A,MS,Viktor AXELSEN (1) Rank 1 Elo 2668 (+3),21-13 / 21-11,LU Guang Zu Rank 17 Elo 2187 (-3),39,https://badmintonranks.com/tournament?id=12828,3,Viktor AXELSEN (1),1,2668,LU Guang Zu,17,2187
2022-12-07,Group A,MD,Takuro H.. / Yugo KOB.. Rank 1 Elo 2090 (+23),21-19 / 21-16,ONG Yew.. / TEO Ee .. (3) Rank 8 Elo 2043 (-23),39,https://badmintonranks.com/tournament?id=12828,4,Takuro H.. / Yugo KOB..,1,2090,ONG Yew.. / TEO Ee .. (3),8,2043
2022-12-07,Group A,MS,Kodai NARAOKA Rank 14 Elo 2216 (+25),21-12 / 9-21 / 21-17,PRANNOY H. S. (3) Rank 12 Elo 2215 (-25),60,https://badmintonranks.com/tournament?id=12828,4,Kodai NARAOKA,14,2216,PRANNOY H. S. (3),12,2215
2022-12-07,Group B,MS,LOH Kean Yew Rank 3 Elo 2287 (+24),21-15 / 21-17,CHOU Tien Chen (2) Rank 4 Elo 2277 (-24),42,https://badmintonranks.com/tournament?id=12828,4,LOH Kean Yew,3,2287,CHOU Tien Chen (2),4,2277
2022-12-07,Group A,WS,Akane YAMAGUCHI Rank 1 Elo 2502 (+23),21-18 / 21-16,AN Se Young (4) Rank 2 Elo 2478 (-24),42,https://badmintonranks.com/tournament?id=12828,4,Akane YAMAGUCHI,1,2502,AN Se Young (4),2,2478
2022-12-07,Group A,WD,Jongkolp.. / Rawinda .. Rank 6 Elo 2048 (+20),21-19 / 10-21 / 21-12,Benyapa .. / Nuntakar.. (3) Rank 13 Elo 1966 (-20),51,https://badmintonranks.com/tournament?id=12828,4,Jongkolp.. / Rawinda ..,6,2048,Benyapa .. / Nuntakar.. (3),13,1966
2022-12-07,Group B,WS,Ratchanok INTANON Rank 7 Elo 2362 (+12),21-15 / 21-13,Busanan ONGBAMRUN.. Rank 10 Elo 2169 (-13),40,https://badmintonranks.com/tournament?id=12828,4,Ratchanok INTANON,7,2362,Busanan ONGBAMRUN..,10,2169
2022-12-07,Group A,MD,Fajar ALF.. / Muhamm.. (1) Rank 3 Elo 2206 (+13),23-21 / 21-17,CHOI Sol.. / KIM Won .. Rank 15 Elo 2017 (-13),48,https://badmintonranks.com/tournament?id=12828,4,Fajar ALF.. / Muhamm.. (1),3,2206,CHOI Sol.. / KIM Won ..,15,2017
2022-12-07,Group B,MS,Anthony Sinisuka GINTI.. Rank 7 Elo 2298 (+20),6-21 / 21-10 / 21-9,Jonatan CHRISTIE (4) Rank 5 Elo 2213 (-19),47,https://badmintonranks.com/tournament?id=12828,4,Anthony Sinisuka GINTI..,7,2298,Jonatan CHRISTIE (4),5,2213
2022-12-07,Group A,WS,Gregoria Mariska TUNJ.. Rank 18 Elo 2161 (+43),21-9 / 14-21 / 21-16,CHEN Yu Fei (1) Rank 4 Elo 2459 (-43),56,https://badmintonranks.com/tournament?id=12828,4,Gregoria Mariska TUNJ..,18,2161,CHEN Yu Fei (1),4,2459
2022-12-07,Group B,XD,TAN Kian.. / LAI Pei Jin.. Rank 8 Elo 1943 (+46),23-21 / 14-21 / 21-16,WANG Yi.. / HUANG .. (3) Rank 4 Elo 2239 (-43),61,https://badmintonranks.com/tournament?id=12828,4,TAN Kian.. / LAI Pei Jin..,8,1943,WANG Yi.. / HUANG .. (3),4,2239
2022-12-07,Group A,WD,JEONG .. / KIM Hye .. (1) Rank 5 Elo 2080 (+6),21-18 / 21-13,Vivian H.. / LIM Chiew.. Rank 24 Elo 1702 (-9),43,https://badmintonranks.com/tournament?id=12828,4,JEONG .. / KIM Hye .. (1),5,2080,Vivian H.. / LIM Chiew..,24,1702
2022-12-07,Group B,WD,Apriyani .. / Siti Fadia .. Rank 14 Elo 2131 (+30),23-21 / 21-19,Pearly TA.. / THINAAH .. Rank 9 Elo 2193 (-30),47,https://badmintonranks.com/tournament?id=12828,4,Apriyani .. / Siti Fadia ..,14,2131,Pearly TA.. / THINAAH ..,9,2193
2022-12-07,Group B,WS,HE Bing Jiao (3) Rank 5 Elo 2490 (+24),21-19 / 21-19,TAI Tzu Ying (2) Rank 3 Elo 2464 (-23),47,https://badmintonranks.com/tournament?id=12828,4,HE Bing Jiao (3),5,2490,TAI Tzu Ying (2),3,2464
2022-12-07,Group B,XD,Dechapol.. / Sapsiree .. (2) Rank 1 Elo 2268 (+8),21-6 / 25-23,Supak JO.. / Supissara .. Rank 12 Elo 1980 (-8),46,https://badmintonranks.com/tournament?id=12828,4,Dechapol.. / Sapsiree .. (2),1,2268,Supak JO.. / Supissara ..,12,1980
2022-12-07,Group B,WD,CHEN Qi.. / JIA Yi Fan (4) Rank 1 Elo 2305 (+10),21-18 / 17-21 / 21-14,ZHANG .. / ZHENG .. (2) Rank 7 Elo 2081 (-12),58,https://badmintonranks.com/tournament?id=12828,4,CHEN Qi.. / JIA Yi Fan (4),1,2305,ZHANG .. / ZHENG .. (2),7,2081
