date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,tournament_name
2025-06-05,Round 2,MD,MAN Wei.. / TEE Kai .. (7) Rank 7 Elo 2113 (+12),14-21 / 21-11 / 21-15,Junaidi A.. / YAP Roy .. Rank 23 Elo 1899 (-13),48,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025
2025-06-05,Round 2,MD,Satwiksai.. / Chirag SH.. Rank 22 Elo 2171 (+12),16-21 / 21-18 / 22-20,Rasmus .. / Frederik S.. Rank 16 Elo 1969 (-13),68,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025
2025-06-05,Round 2,WD,Pearly TA.. / THINAAH.. (4) Rank 4 Elo 2116 (+17),18-21 / 21-16 / 21-17,Lanny Tri.. / Siti Fadia .. Rank 20 Elo 1997 (-18),59,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025
2025-06-05,Round 2,WD,LI Yi jing / LUO Xu .. (5) Rank 6 Elo 2034 (+13),21-7 / 21-16,YEUNG .. / YEUNG P.. Rank 14 Elo 1836 (-15),35,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025
2025-06-05,Round 2,MD,Takuro H.. / Yugo KOB.. Rank 19 Elo 2075 (+29),29-27 / 21-11,Kim AST.. / Anders S.. (2) Rank 2 Elo 2112 (-28),46,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025
2025-06-05,Round 2,MS,Anders ANTONSEN (3) Rank 3 Elo 2301 (+14),21-16 / 18-21 / 21-14,Alwi FARHAN Rank 29 Elo 2128 (-14),77,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025
2025-06-05,Round 2,WD,Febriana .. / Amallia C.. (8) Rank 10 Elo 1961 (+11),15-21 / 21-12 / 21-9,Siti Sarah.. / Agnia Sri .. Rank 46 Elo 1724 (-16),58,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025
2025-06-05,Round 2,MS,LEE Cheuk Yiu Rank 21 Elo 2144 (+38),12-21 / 21-12 / 21-10,Jonatan CHRISTIE (5) Rank 5 Elo 2323 (-37),58,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025
2025-06-05,Round 2,MS,Alex LANIER (8) Rank 8 Elo 2303 (+24),16-21 / 21-14 / 21-8,LOH Kean Yew Rank 10 Elo 2283 (-24),57,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025
2025-06-05,Round 2,MS,WANG Zheng Xing Rank 30 Elo 2014 (+31),21-19 / 21-5,Rasmus GEMKE Rank 28 Elo 2068 (-30),38,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025
2025-06-05,Round 2,XD,CHEN Ta.. / TOH Ee .. (2) Rank 4 Elo 2090 (+9),21-9 / 21-12,Mads VE.. / Christine .. Rank 23 Elo 1821 (-11),31,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025
2025-06-05,Round 2,WD,Yuki FUK.. / Mayu MAT.. Rank 9 Elo 2136 (+13),21-13 / 24-22,Treesa J.. / GAYATRI .. Rank 12 Elo 1948 (-14),46,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025
2025-06-05,Round 2,WS,HAN Yue (4) Rank 4 Elo 2356 (+5),21-9 / 21-9,LIN Hsiang Ti Rank 29 Elo 1953 (-5),30,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025
