date,tournament,round,type,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
2021-11-23,Indonesia Open 2021,Round 1,WD,JEONG Na Eun / KIM Hye Jeong,87,1876,Benyapa AIMSAARD / Nuntakarn AIMSAARD,46,1635
2021-11-23,Indonesia Open 2021,Round 1,WD,Chloe COBB / Lauren SMITH,13,1810,Julie FINNE-IPSEN / Mai SURROW,43,1523
2021-11-23,Indonesia Open 2021,Round 1,MD,Aaron CHIA / SOH Wooi Yik,6,2120,Mark LAMSFUSS / Marvin SEIDEL,16,1991
2021-11-23,Indonesia Open 2021,Round 1,XD,CHEN Tang Jie / PECK Yen Wei,42,1772,Yuki KANEKO / Misaki MATSUTOMO,17,1912
2021-11-23,Indonesia Open 2021,Round 1,WS,LéOnice HUET,60,1610,Clara AZURMENDI,46,1823
2021-11-23,Indonesia Open 2021,Round 1,XD,Jones Ralfy JANSEN / Linda EFLER,146,1686,Venkat Gaurav PRASAD / Juhi DEWANGAN,64,1508
2021-11-23,Indonesia Open 2021,Round 1,MD,ONG Yew Sin / TEO Ee Yi,12,2043,TAN Kian Meng / TAN Wee Kiong,134,1692
2021-11-23,Indonesia Open 2021,Round 1,WS,AN Se Young,6,2440,Ruselli HARTAWAN,43,1866
2021-11-23,Indonesia Open 2021,Round 1,MS,LOH Kean Yew,26,2188,PARUPALLI Kashyap,34,1951
2021-11-23,Indonesia Open 2021,Round 1,WS,Pornpawee CHOCHUWONG,10,2223,Lianne TAN,36,1782
2021-11-23,Indonesia Open 2021,Round 1,MD,KANG Min Hyuk / SEO Seung Jae,,1770,Hiroki OKAMURA / Masayuki MORIZONO,59,1690
2021-11-23,Indonesia Open 2021,Round 1,WD,Febriana Dwipuji KUSUMA / Amallia Cahaya PRATIWI,78,1523,Nita Violina MARWAH / Putri SYAIKAH,35,1704
2021-11-23,Indonesia Open 2021,Round 1,MS,CHOU Tien Chen,4,2263,LEE Cheuk Yiu,15,2195
2021-11-23,Indonesia Open 2021,Round 1,WD,BAEK Ha Na / LEE Yu Lim,82,1738,Linda EFLER / Isabel LOHAU,30,1702
2021-11-23,Indonesia Open 2021,Round 1,MD,Marcus Fernaldi GIDEON / Kevin Sanjaya SUKAMULJO,1,2265,Keiichiro MATSUI / Yoshinori TAKEUTI,43,1742
2021-11-23,Indonesia Open 2021,Round 1,WS,Lalinrat CHAIWAN,21,2086,Yulia Yosephine SUSANTO,90,1636
2021-11-23,Indonesia Open 2021,Round 1,MS,Kanta TSUNEYAMA,10,2216,NG Ka Long Angus,9,2170
2021-11-23,Indonesia Open 2021,Round 1,WS,Gregoria Mariska TUNJUNG,25,2060,Supanida KATETHONG,33,1868
2021-11-23,Indonesia Open 2021,Round 1,MD,CHOI Sol Gyu / KIM Won Ho,,1683,M.R.ARJUN / DHRUV KAPILA,41,1709
2021-11-23,Indonesia Open 2021,Round 1,MD,GOH Sze Fei / Nur IZZUDDIN,19,1923,Christo POPOV / Toma Junior POPOV,31,1686
2021-11-23,Indonesia Open 2021,Round 1,MS,Shesar Hiren RHUSTAVITO,20,2111,Sitthikom THAMMASIN,30,1976
2021-11-23,Indonesia Open 2021,Round 1,XD,KO Sung Hyun / EOM Hye Won,21,1936,Marcus ELLIS / Lauren SMITH,8,1939
2021-11-23,Indonesia Open 2021,Round 1,MS,Rasmus GEMKE,13,2100,LEE Zii Jia,7,2325
2021-11-23,Indonesia Open 2021,Round 1,WD,Pearly TAN / THINAAH Muralitharan,18,1847,Clara AZURMENDI / Beatriz CORRALES,68,1640
