date,round,type,winner_raw,score,loser_raw,duration,tournament_url,page_number,tournament_name,winner_name,winner_rank,winner_elo,loser_name,loser_rank,loser_elo
5/6/2025,Round 2,WD,Pearly TA.. / THINAAH.. (4) Rank 4 Elo 2116 (+17),18-21 / 21-16 / 21-17,Lanny Tri.. / Siti Fadia .. Rank 20 Elo 1997 (-18),59,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025,Pearly TA.. / THINAAH.. (4),4,2116,Lanny Tri.. / Siti Fadia ..,20,1997
5/6/2025,Round 2,WD,LI Yi jing / LUO Xu .. (5) Rank 6 Elo 2034 (+13),21-7 / 21-16,YEUNG .. / YEUNG P.. Rank 14 Elo 1836 (-15),35,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025,LI Yi jing / LUO Xu .. (5),6,2034,YEUNG .. / YEUNG P..,14,1836
5/6/2025,Round 2,MD,Takuro H.. / Yugo KOB.. Rank 19 Elo 2075 (+29),29-27 / 21-11,Kim AST.. / Anders S.. (2) Rank 2 Elo 2112 (-28),46,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025,Takuro H.. / Yugo KOB..,19,2075,Kim AST.. / Anders S.. (2),2,2112
5/6/2025,Round 2,MS,Anders ANTONSEN (3) Rank 3 Elo 2301 (+14),21-16 / 18-21 / 21-14,Alwi FARHAN Rank 29 Elo 2128 (-14),77,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025,Anders ANTONSEN (3),3,2301,Alwi FARHAN,29,2128
5/6/2025,Round 2,WD,Febriana .. / Amallia C.. (8) Rank 10 Elo 1961 (+11),15-21 / 21-12 / 21-9,Siti Sarah.. / Agnia Sri .. Rank 46 Elo 1724 (-16),58,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025,Febriana .. / Amallia C.. (8),10,1961,Siti Sarah.. / Agnia Sri ..,46,1724
5/6/2025,Round 2,MS,LEE Cheuk Yiu Rank 21 Elo 2144 (+38),12-21 / 21-12 / 21-10,Jonatan CHRISTIE (5) Rank 5 Elo 2323 (-37),58,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025,LEE Cheuk Yiu,21,2144,Jonatan CHRISTIE (5),5,2323
5/6/2025,Round 2,MS,Alex LANIER (8) Rank 8 Elo 2303 (+24),16-21 / 21-14 / 21-8,LOH Kean Yew Rank 10 Elo 2283 (-24),57,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025,Alex LANIER (8),8,2303,LOH Kean Yew,10,2283
5/6/2025,Round 2,MS,WANG Zheng Xing Rank 30 Elo 2014 (+31),21-19 / 21-5,Rasmus GEMKE Rank 28 Elo 2068 (-30),38,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025,WANG Zheng Xing,30,2014,Rasmus GEMKE,28,2068
5/6/2025,Round 2,XD,CHEN Ta.. / TOH Ee .. (2) Rank 4 Elo 2090 (+9),21-9 / 21-12,Mads VE.. / Christine .. Rank 23 Elo 1821 (-11),31,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025,CHEN Ta.. / TOH Ee .. (2),4,2090,Mads VE.. / Christine ..,23,1821
5/6/2025,Round 2,WD,Yuki FUK.. / Mayu MAT.. Rank 9 Elo 2136 (+13),21-13 / 24-22,Treesa J.. / GAYATRI .. Rank 12 Elo 1948 (-14),46,https://badmintonranks.com/tournament?id=14466,3,Indonesia Open 2025,Yuki FUK.. / Mayu MAT..,9,2136,Treesa J.. / GAYATRI ..,12,1948
